pool_size,time,cumulative_time
1,26.932857048,26.932857048
2,21.190461771,48.123318819
3,19.45828369,67.58160250899999
4,19.886667915,87.468270424
5,23.820157501,111.288427925
6,23.522396613,134.810824538
7,18.041536166,152.85236070399998
8,21.00780179,173.86016249399998
9,29.338418939,203.198581433
10,28.73410749,231.932688923
11,24.021955338,255.954644261
12,26.795995597,282.750639858
13,17.106310056,299.856949914
14,17.815804226,317.67275414
15,19.058098918,336.730853058
16,24.120888317,360.85174137499996
17,20.144461768,380.99620314299995
18,23.485693624,404.481896767
19,18.290979131,422.77287589800005
20,18.533502502,441.3063784
21,22.830831314,464.13720971400005
22,17.893049598,482.03025931200006
23,18.422109585,500.45236889700004
24,17.386065243,517.83843414
25,23.083453735,540.921887875
26,25.05491368,565.9768015550001
27,17.571382436,583.5481839910001
28,17.111381321,600.659565312
29,25.03341991,625.6929852220001
30,23.245612628,648.9385978500001
31,17.955244311,666.8938421610001
32,18.426562564,685.3204047250001
33,22.110577592,707.4309823170001
34,23.203450106,730.6344324229999
35,24.357624824,754.9920572469999
36,23.222420032,778.2144772789999
37,19.109725505,797.3242027839999
38,23.064799968,820.3890027519999
39,20.051474014,840.4404767659998
40,24.159610467,864.6000872329998
41,19.367564801,883.9676520339998
42,17.880397878,901.8480499119999
43,24.100856743,925.9489066549999
44,18.376419857,944.3253265119998
45,24.560304643,968.8856311549998
46,23.210675583,992.0963067379998
47,21.486450045,1013.5827567829998
48,20.869083077,1034.4518398599998
49,18.825564279,1053.2774041389998
50,20.090156382,1073.367560521
51,19.364092995,1092.731653516
52,16.533229845,1109.264883361
53,17.422019822,1126.6869031830001
54,17.949417443,1144.636320626
55,23.305980368,1167.942300994
56,23.485528282,1191.427829276
57,18.200286833,1209.628116109
58,19.079861491,1228.7079776
59,17.007619621,1245.715597221
60,18.145465093,1263.861062314
61,20.46997457,1284.331036884
62,21.123509423,1305.454546307
63,22.997935588,1328.4524818950001
64,19.592515395,1348.04499729
65,20.146111979,1368.191109269
66,22.95080336,1391.141912629
67,20.16320623,1411.305118859
68,23.479652838,1434.784771697
69,23.066106874,1457.850878571
70,16.199914771,1474.0507933420001
71,20.001114578,1494.05190792
72,22.689673821,1516.7415817410001
73,22.729077602,1539.470659343
74,15.890809257,1555.3614686
75,23.711109708,1579.0725783080002
76,23.113205169,1602.185783477
77,16.887446437,1619.0732299140002
78,16.56792198,1635.6411518940001
79,18.574402346,1654.21555424
80,17.20076821,1671.41632245
81,17.485512695,1688.901835145
82,18.569980627,1707.471815772
83,21.085801532,1728.557617304
84,17.491822213,1746.0494395169999
85,15.685489832,1761.734929349
86,18.205012459,1779.939941808
87,15.403126499,1795.343068307
88,16.65438166,1811.997449967
89,23.64378354,1835.641233507
90,14.629615412,1850.270848919
91,17.307305979,1867.5781548979999
92,17.927906465,1885.5060613629998
93,18.603289747,1904.1093511099998
94,18.502875889,1922.6122269989999
95,17.779011831,1940.3912388299998
96,22.579754918,1962.9709937479997
97,23.400877308,1986.3718710559997
98,16.652728692,2003.0245997480001
99,16.637076358,2019.6616761060002
100,19.348324919,2039.0100010250003
101,17.535915022,2056.5459160470004
102,13.920099235,2070.4660152820006
103,17.27437113,2087.7403864120006
104,20.841520556,2108.5819069680006
